区域,链接,标题,户型,面积,朝向,装修,楼层,楼层类型,总价(万),单价(元/平)
红谷滩区,https://nc.lianjia.com/ershoufang/103130865361.html,南北通透，户型端正，电梯洋房，中间楼层,3室2厅,138.8平米,南 北,简装,中楼层(共11层),板塔结合,170,"12,248"
红谷滩区,https://nc.lianjia.com/ershoufang/103138422315.html,联泰香域尚城，通透两房。中间好楼层，诚心出售,2室2厅,93.65平米,南 北,精装,中楼层(共11层),塔楼,158,"16,872"
红谷滩区,https://nc.lianjia.com/ershoufang/103134239990.html,万达文化旅游城L区临江两房 育新二号线地铁 配套成熟,2室2厅,86.88平米,南,毛坯,33层,塔楼,49,"5,640"
红谷滩区,https://nc.lianjia.com/ershoufang/103132436530.html,融创望江府东端户可以看江诚心卖,3室2厅,113.66平米,南,精装,中楼层(共33层),板楼,106,"9,327"
红谷滩区,https://nc.lianjia.com/ershoufang/103132269287.html,全新小区，双地铁口，精装交付，刚需三房,3室2厅,89平米,南,精装,中楼层(共24层),暂无数据,115,"12,922"
红谷滩区,https://nc.lianjia.com/ershoufang/103138038201.html,红谷滩CBD，近地铁近商场近秋水广场,1室1厅,47.26平米,南,精装,低楼层(共31层),板塔结合,99,"20,948"
红谷滩区,https://nc.lianjia.com/ershoufang/103138907493.html,阳光枫情3-2-1-2房东诚心出售,3室2厅,115.99平米,南 北,简装,低楼层(共6层),板楼,98,"8,450"
红谷滩区,https://nc.lianjia.com/ershoufang/103129240928.html,海珀九龙玉隆  238平大平层  纯江景房 视野无档,5室2厅,238.52平米,东,毛坯,低楼层(共31层),板楼,370,"15,513"
红谷滩区,https://nc.lianjia.com/ershoufang/103138483508.html,全屋品质装修 前排楼栋视野好 采光好 近地铁 近教育,3室1厅,110.9平米,南,精装,中楼层(共31层),板楼,108,"9,739"
红谷滩区,https://nc.lianjia.com/ershoufang/103128634158.html,南北通透三房总价低随时看房房东置换诚心出售看中可谈,3室2厅,108.76平米,南 北,简装,低楼层(共24层),板楼,140,"12,873"
红谷滩区,https://nc.lianjia.com/ershoufang/103136670932.html,凤鸣苑 全新丛一楼精装20万 一天未住 5楼南北通透两房,2室1厅,87.87平米,南 北,其他,中楼层(共7层),板楼,203,"23,103"
红谷滩区,https://nc.lianjia.com/ershoufang/103136158601.html,红谷滩万达广场旁 地铁口物业 精装3房,3室2厅,102.15平米,东南,精装,中楼层(共18层),板塔结合,165,"16,153"
