区域,链接,标题,户型,面积,朝向,装修,楼层,楼层类型,总价(万),单价(元/平)
红谷滩区,https://nc.lianjia.com/ershoufang/103130865361.html,南北通透，户型端正，电梯洋房，中间楼层,3室2厅,138.8,南,简装,中楼层,板塔结合,170.0,12248
红谷滩区,https://nc.lianjia.com/ershoufang/103138422315.html,联泰香域尚城，通透两房。中间好楼层，诚心出售,2室2厅,93.65,南,精装,中楼层,塔楼,158.0,16872
红谷滩区,https://nc.lianjia.com/ershoufang/103134239990.html,万达文化旅游城L区临江两房 育新二号线地铁 配套成熟,2室2厅,86.88,南,毛坯,中楼层,塔楼,49.0,5640
红谷滩区,https://nc.lianjia.com/ershoufang/103132436530.html,融创望江府东端户可以看江诚心卖,3室2厅,113.66,南,精装,中楼层,板楼,106.0,9327
红谷滩区,https://nc.lianjia.com/ershoufang/103132269287.html,全新小区，双地铁口，精装交付，刚需三房,3室2厅,89.0,南,精装,中楼层,暂无数据,115.0,12922
红谷滩区,https://nc.lianjia.com/ershoufang/103138038201.html,红谷滩CBD，近地铁近商场近秋水广场,1室1厅,47.26,南,精装,低楼层,板塔结合,99.0,20948
红谷滩区,https://nc.lianjia.com/ershoufang/103138907493.html,阳光枫情3-2-1-2房东诚心出售,3室2厅,115.99,南,简装,低楼层,板楼,98.0,8450
红谷滩区,https://nc.lianjia.com/ershoufang/103129240928.html,海珀九龙玉隆  238平大平层  纯江景房 视野无档,5室2厅,238.52,东,毛坯,低楼层,板楼,370.0,15513
红谷滩区,https://nc.lianjia.com/ershoufang/103138483508.html,全屋品质装修 前排楼栋视野好 采光好 近地铁 近教育,3室1厅,110.9,南,精装,中楼层,板楼,108.0,9739
红谷滩区,https://nc.lianjia.com/ershoufang/103128634158.html,南北通透三房总价低随时看房房东置换诚心出售看中可谈,3室2厅,108.76,南,简装,低楼层,板楼,140.0,12873
红谷滩区,https://nc.lianjia.com/ershoufang/103136670932.html,凤鸣苑 全新丛一楼精装20万 一天未住 5楼南北通透两房,2室1厅,87.87,南,其他,中楼层,板楼,203.0,23103
红谷滩区,https://nc.lianjia.com/ershoufang/103136158601.html,红谷滩万达广场旁 地铁口物业 精装3房,3室2厅,102.15,东,精装,中楼层,板塔结合,165.0,16153
红谷滩区,https://nc.lianjia.com/ershoufang/103129222981.html,博翠好房推荐--刚需三房带装修，喜欢随时可以约业主！,3室2厅,93.89,东,简装,高楼层,板楼,96.6,10289
红谷滩区,https://nc.lianjia.com/ershoufang/103131535955.html,联泰地铁口  山姆  华润旁  全天阳光降价出售,3室2厅,116.57,南,毛坯,中楼层,板塔结合,190.0,16300
红谷滩区,https://nc.lianjia.com/ershoufang/103138942458.html,双地铁口 精装修，配套齐全，可看江景，小户型总价低,1室1厅,46.73,南,其他,高楼层,板塔结合,90.0,19260
红谷滩区,https://nc.lianjia.com/ershoufang/103137859971.html,采光好 户型通透 生活配套方便,3室2厅,124.52,南,简装,中楼层,板楼,170.0,13653
红谷滩区,https://nc.lianjia.com/ershoufang/103135793026.html,全明格局 中上楼层 日照采光俱佳 位置好 近地铁,3室2厅,94.46,南,简装,中楼层,板楼,140.0,14822
红谷滩区,https://nc.lianjia.com/ershoufang/103130339541.html,通透大三房精装修 楼栋楼层好 视野开阔 采光好,3室2厅,114.45,南,精装,中楼层,板楼,90.0,7864
红谷滩区,https://nc.lianjia.com/ershoufang/103130198152.html,叠加别墅 上下三层 带车位 方便看,4室2厅,152.36,南,精装,中楼层,板楼,260.0,17065
红谷滩区,https://nc.lianjia.com/ershoufang/103138920834.html,前后双阳台 得房率高 毛坯 视线无档,3室2厅,117.02,南,毛坯,高楼层,板楼,215.0,18373
红谷滩区,https://nc.lianjia.com/ershoufang/103139677647.html,好楼层  采光好  地铁口  房东诚心出售,3室2厅,88.91,南,精装,高楼层,暂无数据,113.0,12710
红谷滩区,https://nc.lianjia.com/ershoufang/103140386988.html,精装地铁口二房 拎包入住 好楼层 总价低,2室2厅,92.09,东,精装,中楼层,板塔结合,115.0,12488
红谷滩区,https://nc.lianjia.com/ershoufang/103122241180.html,凤凰花园东区  三房出售 地铁口 诚心出售,3室2厅,101.55,南,简装,中楼层,板楼,79.8,7859
红谷滩区,https://nc.lianjia.com/ershoufang/103140055388.html,精装修  诚心出售    交通便利,3室2厅,95.96,南,精装,中楼层,板楼,73.0,7608
红谷滩区,https://nc.lianjia.com/ershoufang/103134503092.html,此房户型端正，采光性好，适合居住 小高层,3室2厅,122.46,南,简装,高楼层,板楼,175.0,14291
红谷滩区,https://nc.lianjia.com/ershoufang/103135676207.html,新旅明樾府南苑  地铁口  近西客站,4室2厅,129.23,南,精装,中楼层,板楼,193.0,14935
红谷滩区,https://nc.lianjia.com/ershoufang/103139831199.html,九龙湖新力禧园小3房房东诚心出售随时看房,3室2厅,89.81,南,精装,高楼层,塔楼,65.0,7238
红谷滩区,https://nc.lianjia.com/ershoufang/103136142097.html,新旅明樾府南苑 西客站旁 全新小区 好地段,4室2厅,130.25,南,精装,中楼层,板楼,195.0,14972
红谷滩区,https://nc.lianjia.com/ershoufang/103136683964.html,理想家园大三房出售，随时看房，诚心出售,3室2厅,145.8,南,其他,中楼层,板楼,115.0,7888
红谷滩区,https://nc.lianjia.com/ershoufang/103140175231.html,红谷滩万达广场，精装公寓，房东急售,1室1厅,41.25,南,精装,高楼层,板楼,26.8,6497
红谷滩区,https://nc.lianjia.com/ershoufang/103139547904.html,薪上优质好房视野采光位置不错业主置换诚心出售近地铁,3室2厅,97.89,南,其他,中楼层,板塔结合,158.0,16141
红谷滩区,https://nc.lianjia.com/ershoufang/103139582255.html,电梯房 地铁口的房子 带露台业主诚心出手 随时看房,3室2厅,127.53,南,简装,低楼层,板楼,118.0,9253
红谷滩区,https://nc.lianjia.com/ershoufang/103132134127.html,视野开阔板正的户型，房子南北通的房,3室2厅,121.5,南,精装,中楼层,板塔结合,230.0,18931
红谷滩区,https://nc.lianjia.com/ershoufang/103139668411.html,绿地双子塔 江信国际花园 东南北三面采光 保养好,3室2厅,146.17,南,其他,中楼层,塔楼,160.0,10947
红谷滩区,https://nc.lianjia.com/ershoufang/103121138362.html,洋房 南北双阳台 有房本 契税满二 配套全 环境舒畅,4室2厅,124.44,东,毛坯,中楼层,暂无数据,129.0,10367
